Date,Open,High,Low,Close,Volume
12/01/2025,"488.44","489.86","484.65","486.74","22,647,500"
11/28/2025,"487.60","492.63","486.65","492.01","14,382,900"
11/26/2025,"486.31","488.31","481.20","485.50","25,709,080"
11/25/2025,"474.07","479.15","464.89","476.99","28,019,789"
11/24/2025,"475.00","476.90","468.02","474.00","34,421,047"
11/21/2025,"478.50","478.92","468.27","472.12","31,769,250"
11/20/2025,"492.71","493.57","475.50","478.43","26,802,539"
11/19/2025,"490.10","495.19","482.83","487.12","23,245,311"
11/18/2025,"495.37","502.98","486.78","493.79","33,815,113"
11/17/2025,"508.45","512.12","504.91","507.49","19,092,750"
11/14/2025,"498.23","511.60","497.44","510.18","28,505,750"
11/13/2025,"510.31","513.50","501.29","503.29","25,273,109"
11/12/2025,"509.36","511.67","499.12","511.14","26,574,850"
11/11/2025,"504.80","509.60","502.35","508.68","17,980,020"
11/10/2025,"500.04","506.85","498.80","506.00","26,101,480"
11/07/2025,"496.95","499.38","493.25","496.82","24,019,760"
11/06/2025,"505.66","505.70","495.81","497.10","27,406,500"
11/05/2025,"513.30","514.83","506.58","507.16","23,024,340"
11/04/2025,"511.76","515.55","507.84","514.33","20,958,660"
11/03/2025,"519.81","524.96","514.59","517.03","22,374,740"
10/31/2025,"528.88","529.32","515.10","517.81","34,006,422"
10/30/2025,"530.48","534.97","522.12","525.76","41,023,090"
10/29/2025,"544.94","546.27","536.73","541.55","36,023,000"
10/28/2025,"550.00","553.72","540.77","542.07","29,986,680"
10/27/2025,"531.78","534.58","529.01","531.52","18,734,721"
10/24/2025,"522.79","525.35","520.71","523.61","15,532,360"
10/23/2025,"522.46","523.95","518.61","520.56","14,023,530"
10/22/2025,"521.15","525.23","517.71","520.54","18,962,689"
10/21/2025,"517.50","518.69","513.04","517.66","15,586,200"
10/20/2025,"514.61","518.70","513.43","516.79","14,665,620"
10/17/2025,"509.04","515.48","507.31","513.58","19,867,770"
10/16/2025,"512.58","516.85","508.13","511.61","15,559,570"
10/15/2025,"514.96","517.19","510.00","513.43","14,694,650"
10/14/2025,"510.23","515.28","506.00","513.57","14,684,300"
10/13/2025,"516.41","516.41","511.68","514.05","14,284,240"
10/10/2025,"519.64","523.58","509.63","510.96","24,133,840"
10/09/2025,"522.34","524.33","517.40","522.40","18,343,600"
10/08/2025,"523.28","526.95","523.09","524.85","13,363,450"
10/07/2025,"528.29","529.80","521.44","523.98","14,615,210"
10/06/2025,"518.61","531.03","518.20","528.57","21,388,580"
10/03/2025,"517.10","520.49","515.00","517.35","15,112,320"
10/02/2025,"517.64","521.60","510.68","515.74","21,222,891"
10/01/2025,"514.80","520.51","511.69","519.71","22,632,340"
09/30/2025,"513.24","518.16","509.66","517.95","19,728,230"
09/29/2025,"511.50","516.85","508.88","514.60","17,617,779"
09/26/2025,"510.06","513.94","506.62","511.46","16,213,130"
09/25/2025,"508.30","510.01","505.04","507.03","15,786,470"
09/24/2025,"510.38","512.48","506.92","510.15","13,533,710"
09/23/2025,"513.80","514.59","507.31","509.23","19,799,580"
09/22/2025,"515.59","517.74","512.55","514.45","20,009,311"
09/19/2025,"510.56","519.30","510.31","517.93","52,474,090"
09/18/2025,"511.49","513.07","507.66","508.45","18,913,699"
09/17/2025,"510.62","511.29","505.93","510.02","15,816,590"
09/16/2025,"516.88","517.23","508.60","509.04","19,711,920"
09/15/2025,"508.79","515.47","507.00","515.36","17,143,789"
09/12/2025,"506.65","512.55","503.85","509.90","23,624,881"
09/11/2025,"502.25","503.17","497.88","501.01","18,881,609"
09/10/2025,"502.98","503.23","496.72","500.37","21,611,820"
09/09/2025,"501.43","502.25","497.70","498.41","14,410,540"
09/08/2025,"498.11","501.20","495.03","498.20","16,771,020"
09/05/2025,"509.07","511.97","492.37","495.00","31,994,850"
09/04/2025,"504.30","508.15","503.15","507.97","15,509,490"
09/03/2025,"503.79","507.79","502.32","505.35","16,345,080"
09/02/2025,"500.47","506.00","496.81","505.12","18,128,000"
08/29/2025,"508.66","509.60","504.49","506.69","20,961,570"
08/28/2025,"507.09","511.09","505.50","509.64","18,015,590"
08/27/2025,"502.00","507.29","499.90","506.74","17,277,891"
08/26/2025,"504.36","504.98","498.51","502.04","30,835,711"
08/25/2025,"506.63","508.19","504.12","504.26","21,638,580"
08/22/2025,"504.25","510.73","502.41","507.23","24,324,160"
08/21/2025,"503.69","507.63","502.72","504.24","18,443,250"
08/20/2025,"509.87","511.00","504.44","505.72","27,723,029"
08/19/2025,"515.00","515.16","508.55","509.77","21,481,020"
08/18/2025,"521.59","522.82","514.02","517.10","23,760,580"
08/15/2025,"522.77","526.10","519.08","520.17","25,213,270"
08/14/2025,"522.56","525.95","520.14","522.48","20,269,070"
08/13/2025,"532.11","532.70","519.37","520.58","19,619,160"
08/12/2025,"523.75","530.98","522.70","529.24","18,688,920"
08/11/2025,"522.30","527.59","519.72","521.77","20,194,369"
08/08/2025,"522.60","524.66","519.41","522.04","15,531,010"
08/07/2025,"526.80","528.09","517.55","520.84","16,079,140"
08/06/2025,"530.90","531.70","524.03","524.94","21,355,699"
08/05/2025,"537.18","537.30","527.24","527.75","19,171,570"
08/04/2025,"528.27","538.25","528.13","535.64","25,349,000"
08/01/2025,"535.00","535.80","520.86","524.11","28,977,631"
07/31/2025,"555.23","555.45","531.90","533.50","51,617,328"
07/30/2025,"515.17","515.95","509.44","513.24","26,380,430"
07/29/2025,"515.53","517.62","511.56","512.57","16,469,240"
07/28/2025,"514.08","515.00","510.12","512.50","14,308,030"
07/25/2025,"512.47","518.29","510.36","513.71","19,125,699"
07/24/2025,"508.77","513.67","507.30","510.88","16,107,000"
07/23/2025,"506.75","506.79","500.70","505.87","16,396,590"
07/22/2025,"510.97","511.20","505.27","505.27","13,868,640"
07/21/2025,"506.71","512.09","505.55","510.06","14,066,810"
07/18/2025,"514.48","514.64","507.43","510.05","21,209,670"
07/17/2025,"505.68","513.37","505.62","511.70","17,503,131"
07/16/2025,"505.18","506.72","501.89","505.62","15,154,370"
07/15/2025,"503.02","508.30","502.79","505.82","14,927,200"
07/14/2025,"501.52","503.97","501.03","503.02","12,058,850"
07/11/2025,"498.47","505.03","497.80","503.32","16,459,510"
07/10/2025,"503.05","504.44","497.75","501.48","16,498,740"
07/09/2025,"500.30","506.78","499.74","503.51","18,659,539"
07/08/2025,"497.24","498.20","494.11","496.62","11,846,590"
07/07/2025,"497.38","498.75","495.23","497.72","13,981,610"
07/03/2025,"493.81","500.13","493.44","498.84","13,984,830"
07/02/2025,"489.99","493.50","488.70","491.09","16,319,640"
07/01/2025,"496.47","498.05","490.98","492.05","19,945,381"
06/30/2025,"497.04","500.76","495.33","497.41","28,368,990"
06/27/2025,"497.55","499.30","493.03","495.94","34,539,238"
06/26/2025,"492.98","498.04","492.81","497.45","21,578,850"
06/25/2025,"492.04","494.56","489.39","492.27","17,495,100"
06/24/2025,"488.95","491.85","486.80","490.11","22,305,641"
06/23/2025,"478.21","487.75","472.51","486.00","24,863,949"
06/20/2025,"482.23","483.46","476.87","477.40","37,576,207"
06/18/2025,"478.00","481.00","474.46","480.24","17,526,449"
06/17/2025,"475.40","478.74","474.08","478.04","15,414,130"
06/16/2025,"475.21","480.69","475.00","479.14","15,626,100"
06/13/2025,"476.41","479.18","472.76","474.96","16,814,461"
06/12/2025,"475.02","480.42","473.52","478.87","18,950,580"
06/11/2025,"470.02","475.47","469.66","472.62","16,399,180"
06/10/2025,"471.19","472.80","466.96","470.92","15,375,940"
06/09/2025,"469.70","473.43","468.62","472.75","16,469,930"
06/06/2025,"470.09","473.34","468.78","470.38","15,285,620"
06/05/2025,"464.96","469.65","464.03","467.68","20,154,461"
06/04/2025,"464.00","465.69","463.02","463.87","14,162,690"
06/03/2025,"461.47","464.14","460.86","462.97","15,743,760"
06/02/2025,"457.14","462.11","456.89","461.97","16,626,500"
05/30/2025,"459.72","461.68","455.54","460.36","34,770,480"
05/29/2025,"461.55","461.72","455.31","458.68","13,982,210"
05/28/2025,"461.22","462.52","456.93","457.36","17,086,260"
05/27/2025,"456.48","460.95","456.12","460.69","20,974,289"
05/23/2025,"449.98","453.69","448.91","450.18","16,883,510"
05/22/2025,"454.95","460.25","453.90","454.86","18,025,609"
05/21/2025,"454.57","457.78","451.81","452.57","19,216,910"
05/20/2025,"455.59","458.34","454.32","458.17","15,441,810"
05/19/2025,"450.88","459.59","450.80","458.87","21,336,510"
05/16/2025,"452.05","454.36","448.73","454.27","23,849,779"
05/15/2025,"450.77","456.19","450.43","453.13","21,992,320"
05/14/2025,"448.14","453.90","448.14","452.94","19,902,801"
05/13/2025,"447.78","450.67","445.36","449.14","23,618,820"
05/12/2025,"445.94","449.37","439.78","449.26","22,821,939"
05/09/2025,"440.00","440.74","435.88","438.73","15,324,230"
05/08/2025,"437.93","443.67","435.66","438.17","23,491,330"
05/07/2025,"433.84","438.12","431.11","433.35","23,307,240"
05/06/2025,"432.20","437.73","431.17","433.31","15,104,200"
05/05/2025,"432.87","439.50","432.11","436.17","20,136,051"
05/02/2025,"431.74","439.44","429.99","435.28","30,757,430"
05/01/2025,"431.11","436.99","424.90","425.40","58,938,102"
04/30/2025,"390.30","396.66","384.44","395.26","36,461,078"
04/29/2025,"391.30","395.10","390.38","394.04","14,973,980"
04/28/2025,"391.96","392.74","386.64","391.16","16,579,430"
04/25/2025,"387.00","392.16","384.60","391.85","18,973,170"
04/24/2025,"375.70","388.45","375.19","387.30","22,232,289"
04/23/2025,"376.06","380.39","373.02","374.39","20,545,529"
04/22/2025,"363.38","367.77","359.86","366.82","19,484,990"
04/21/2025,"362.82","364.48","355.67","359.12","20,807,279"
04/17/2025,"373.75","374.32","366.89","367.78","21,120,189"
04/16/2025,"380.67","381.61","368.00","371.61","21,967,830"
04/15/2025,"388.51","391.89","384.16","385.73","17,199,891"
04/14/2025,"393.22","394.65","384.21","387.81","19,251,170"
04/11/2025,"380.64","390.05","378.89","388.45","23,839,221"
04/10/2025,"382.06","383.90","367.80","381.35","38,024,367"
04/09/2025,"353.54","393.23","353.10","390.49","50,199,699"
04/08/2025,"368.26","373.65","350.25","354.56","35,868,922"
04/07/2025,"350.88","371.00","344.79","357.86","50,425,000"
04/04/2025,"364.13","374.59","359.48","359.84","49,209,848"
04/03/2025,"374.79","377.48","369.35","373.11","30,198,000"
04/02/2025,"377.97","385.08","376.62","382.14","16,092,560"
04/01/2025,"374.65","382.85","373.23","382.19","19,689,500"
03/31/2025,"372.54","377.07","367.24","375.39","35,184,680"
03/28/2025,"388.08","389.13","376.93","378.80","21,632,020"
03/27/2025,"390.13","392.24","387.40","390.58","13,766,760"
03/26/2025,"395.00","395.31","388.57","389.97","16,132,910"
03/25/2025,"393.92","396.36","392.64","395.16","15,774,970"
03/24/2025,"395.40","395.40","389.81","393.08","21,004,551"
03/21/2025,"383.22","391.74","382.80","391.26","39,675,930"
03/20/2025,"385.74","391.79","383.28","386.84","18,470,539"
03/19/2025,"385.53","389.68","384.00","387.82","19,185,529"
03/18/2025,"387.07","387.37","381.10","383.52","19,486,850"
03/17/2025,"386.70","392.71","385.57","388.70","22,474,270"
03/14/2025,"379.78","390.23","379.51","388.56","19,952,850"
03/13/2025,"383.16","385.32","377.45","378.77","20,473,020"
03/12/2025,"382.95","385.22","378.95","383.27","24,253,570"
03/11/2025,"379.00","386.00","376.91","380.45","30,380,180"
03/10/2025,"385.84","386.40","377.22","380.16","32,840,129"
03/07/2025,"392.32","394.80","385.54","393.31","22,034,090"
03/06/2025,"394.28","402.15","392.68","396.89","23,304,631"
03/05/2025,"389.34","401.67","388.81","401.02","23,433,131"
03/04/2025,"383.40","392.58","381.00","388.61","29,342,920"
03/03/2025,"398.82","398.82","386.16","388.49","23,007,730"
02/28/2025,"392.66","397.63","386.57","396.99","32,845,660"
02/27/2025,"401.27","405.74","392.17","392.53","21,127,410"
02/26/2025,"398.01","403.60","394.25","399.73","19,618,949"
02/25/2025,"401.10","401.92","396.70","397.90","29,387,400"
02/24/2025,"408.51","409.37","399.32","404.00","26,443,660"
02/21/2025,"417.34","418.05","407.89","408.21","27,524,801"
02/20/2025,"415.29","419.31","412.54","416.13","23,508,730"
02/19/2025,"407.88","415.49","407.65","414.77","24,114,199"
02/18/2025,"408.00","410.60","406.50","409.64","21,423,051"
02/14/2025,"407.79","408.91","405.88","408.43","22,758,461"
02/13/2025,"407.00","411.00","406.36","410.54","23,891,730"
02/12/2025,"407.21","410.75","404.37","409.04","19,121,730"
02/11/2025,"409.64","412.49","409.30","411.44","18,140,590"
02/10/2025,"413.71","415.46","410.92","412.22","20,817,920"
02/07/2025,"416.48","418.65","408.10","409.75","22,886,840"
02/06/2025,"414.00","418.20","414.00","415.82","16,309,760"
02/05/2025,"412.35","413.83","410.40","413.29","16,336,190"
02/04/2025,"412.69","413.92","409.74","412.37","20,532,100"
02/03/2025,"411.60","415.41","408.66","410.92","25,679,150"
01/31/2025,"418.98","420.69","414.91","415.06","34,223,391"
01/30/2025,"418.77","422.86","413.16","414.99","54,586,262"
01/29/2025,"446.69","446.88","440.40","442.33","23,581,369"
01/28/2025,"434.60","448.38","431.38","447.20","23,491,699"
01/27/2025,"424.01","435.20","423.50","434.56","35,647,809"
01/24/2025,"445.16","446.65","441.40","444.06","15,549,450"
01/23/2025,"442.00","446.75","441.50","446.71","18,389,270"
01/22/2025,"437.56","447.27","436.00","446.20","27,803,811"
01/21/2025,"430.20","430.90","425.60","428.50","26,085,699"
01/17/2025,"434.09","434.48","428.17","429.03","26,197,510"
01/16/2025,"428.70","429.49","424.39","424.58","15,300,020"
01/15/2025,"419.13","428.15","418.27","426.31","19,637,840"
01/14/2025,"417.81","419.74","410.72","415.67","16,935,859"
01/13/2025,"415.24","418.50","412.29","417.19","17,604,779"
01/10/2025,"424.63","424.71","415.02","418.95","20,201,131"
01/08/2025,"423.46","426.97","421.54","424.56","15,054,580"
01/07/2025,"429.00","430.65","420.80","422.37","18,139,070"
01/06/2025,"428.00","434.32","425.48","427.85","20,573,650"
01/03/2025,"421.08","424.03","419.54","423.35","16,662,939"
01/02/2025,"425.53","426.07","414.85","418.58","16,896,471"
12/31/2024,"426.10","426.73","420.66","421.50","13,246,510"
12/30/2024,"426.06","427.55","421.90","424.83","13,158,700"
12/27/2024,"434.60","435.22","426.35","430.53","18,117,711"
12/26/2024,"439.08","440.94","436.63","438.11","8,199,927"
12/24/2024,"434.65","439.60","434.19","439.33","7,164,543"
12/23/2024,"436.74","437.65","432.83","435.25","19,152,520"
12/20/2024,"433.11","443.74","428.63","436.60","64,263,688"
12/19/2024,"441.62","443.18","436.32","437.03","22,963,680"
12/18/2024,"451.32","452.65","437.02","437.39","24,444,551"
12/17/2024,"451.01","455.29","449.57","454.46","22,733,490"
12/16/2024,"447.27","452.18","445.28","451.59","23,598,830"
12/13/2024,"448.44","451.43","445.58","447.27","20,177,830"
12/12/2024,"449.11","456.16","449.11","449.56","20,834,779"
12/11/2024,"444.05","450.35","444.05","448.99","19,200,211"
12/10/2024,"444.39","449.62","441.60","443.33","18,469,461"
12/09/2024,"442.60","448.33","440.50","446.02","19,144,391"
12/06/2024,"442.30","446.10","441.77","443.57","18,821,000"
12/05/2024,"437.92","444.66","436.17","442.62","21,697,779"
12/04/2024,"433.03","439.67","432.63","437.42","26,009,430"
12/03/2024,"429.84","432.47","427.74","431.20","18,301,990"
12/02/2024,"421.57","433.00","421.31","430.98","20,207,221"
11/29/2024,"420.09","424.88","417.80","423.46","16,271,920"
11/27/2024,"425.11","427.23","422.02","422.99","18,332,439"
11/26/2024,"419.59","429.04","418.85","427.99","23,458,891"
11/25/2024,"418.38","421.08","414.85","418.79","27,691,090"
11/22/2024,"411.37","417.40","411.06","417.00","24,814,631"
11/21/2024,"419.50","419.78","410.29","412.87","20,780,160"
11/20/2024,"416.87","417.29","410.58","415.49","19,191,660"
11/19/2024,"413.11","417.94","411.55","417.79","18,133,529"
11/18/2024,"414.87","418.40","412.10","415.76","24,742,010"
11/15/2024,"419.82","422.80","413.64","415.00","28,247,641"
11/14/2024,"425.00","428.17","420.00","426.89","30,246,881"
11/13/2024,"421.64","429.33","418.21","425.20","21,502,189"
11/12/2024,"418.25","424.44","417.20","423.03","19,401,199"
11/11/2024,"422.52","424.81","416.00","418.01","24,503,320"
11/08/2024,"425.32","426.50","421.78","422.54","16,891,410"
11/07/2024,"421.28","426.85","419.88","425.43","19,901,779"
11/06/2024,"412.42","420.45","410.52","420.18","26,681,840"
11/05/2024,"408.37","414.90","408.08","411.46","17,626,010"
11/04/2024,"409.80","410.42","405.57","408.46","19,672,289"
11/01/2024,"409.01","415.50","407.50","410.37","24,230,439"
10/31/2024,"415.36","416.16","406.30","406.35","53,970,980"
10/30/2024,"437.44","438.50","432.10","432.53","29,749,150"
10/29/2024,"428.00","433.17","425.80","431.95","17,644,080"
10/28/2024,"431.66","431.94","426.30","426.59","14,882,440"
10/25/2024,"426.76","432.52","426.57","428.15","16,899,061"
10/24/2024,"425.33","425.98","422.40","424.73","13,581,630"
10/23/2024,"430.86","431.08","422.53","424.60","19,654,381"
10/22/2024,"418.49","430.58","418.04","427.51","25,482,199"
10/21/2024,"416.12","418.96","413.75","418.78","14,206,120"
10/18/2024,"417.14","419.65","416.26","418.16","17,145,320"
10/17/2024,"422.36","422.50","415.59","416.72","14,820,000"
10/16/2024,"415.17","416.36","410.48","416.12","15,508,930"
10/15/2024,"422.18","422.48","415.26","418.74","18,900,199"
10/14/2024,"417.77","424.04","417.52","419.14","16,653,090"
10/11/2024,"416.14","417.13","413.25","416.32","14,144,940"
10/10/2024,"415.23","417.35","413.15","415.84","13,848,380"
10/09/2024,"415.86","420.38","414.30","417.46","14,974,260"
10/08/2024,"410.90","415.66","408.17","414.71","19,229,260"
10/07/2024,"416.00","417.11","409.00","409.54","20,919,760"
10/04/2024,"418.24","419.75","414.97","416.06","19,190,910"
10/03/2024,"417.63","419.55","414.29","416.54","13,686,420"
10/02/2024,"422.58","422.82","416.71","417.13","16,582,260"
10/01/2024,"428.45","428.48","418.81","420.69","19,092,949"
09/30/2024,"428.21","430.42","425.37","430.30","16,854,609"
