Date,Open,High,Low,Close,Volume
09/27/2024,"431.52","431.85","427.47","428.02","14,896,130"
09/26/2024,"435.09","435.30","429.13","431.31","14,492,040"
09/25/2024,"429.83","433.12","428.57","432.11","13,396,360"
09/24/2024,"433.00","433.35","426.10","429.17","17,015,750"
09/23/2024,"434.28","436.46","430.39","433.51","15,128,890"
09/20/2024,"437.22","439.24","434.22","435.27","55,167,113"
09/19/2024,"441.23","441.50","436.90","438.69","21,706,561"
09/18/2024,"435.00","436.03","430.41","430.81","18,898,039"
09/17/2024,"440.23","441.85","432.27","435.15","18,874,230"
09/16/2024,"430.60","433.53","428.22","431.34","13,834,700"
09/13/2024,"425.83","431.83","425.46","430.59","15,874,560"
09/12/2024,"423.31","427.37","419.75","427.00","17,418,760"
09/11/2024,"415.50","423.99","409.58","423.04","19,266,920"
09/10/2024,"408.20","416.33","407.70","414.20","19,594,289"
09/09/2024,"407.24","408.65","402.15","405.72","15,295,130"
09/06/2024,"409.06","410.65","400.80","401.70","19,609,529"
09/05/2024,"407.62","413.10","406.13","408.39","14,195,520"
09/04/2024,"405.91","411.24","404.37","408.90","15,135,810"
09/03/2024,"417.91","419.88","407.03","409.44","20,294,500"
08/30/2024,"415.60","417.49","412.13","417.14","24,308,320"
08/29/2024,"414.94","422.05","410.60","413.12","17,045,240"
08/28/2024,"414.88","415.00","407.31","410.60","14,882,660"
08/27/2024,"412.86","414.36","410.25","413.84","13,492,910"
08/26/2024,"416.37","417.28","411.34","413.49","13,152,830"
08/23/2024,"416.98","419.26","412.09","416.79","18,493,779"
08/22/2024,"424.36","426.79","414.61","415.55","19,361,900"
08/21/2024,"424.08","426.40","421.72","424.14","16,067,300"
08/20/2024,"421.70","425.86","421.64","424.80","16,387,580"
08/19/2024,"418.96","421.75","416.46","421.53","15,233,960"
08/16/2024,"420.60","421.34","417.30","418.47","22,775,590"
08/15/2024,"419.80","421.11","417.66","421.03","20,752,141"
08/14/2024,"414.80","417.72","412.45","416.86","18,266,980"
08/13/2024,"409.59","414.95","409.57","414.01","19,414,270"
08/12/2024,"407.06","408.76","404.24","406.81","16,762,881"
08/09/2024,"404.03","408.05","402.26","406.02","19,276,670"
08/08/2024,"402.44","405.86","399.94","402.69","20,203,029"
08/07/2024,"408.64","410.08","397.47","398.43","20,650,910"
08/06/2024,"400.00","405.67","398.50","399.61","24,946,529"
08/05/2024,"389.17","401.04","385.58","395.15","40,709,238"
08/02/2024,"412.49","415.00","404.34","408.49","29,437,900"
08/01/2024,"420.79","427.46","413.09","417.11","30,296,400"
07/31/2024,"420.50","421.78","412.21","418.35","42,891,367"
07/30/2024,"427.72","429.05","417.36","422.92","32,687,580"
07/29/2024,"431.58","432.15","424.70","426.73","15,125,840"
07/26/2024,"418.20","428.92","417.27","425.27","23,583,840"
07/25/2024,"428.80","429.80","417.51","418.40","29,943,801"
07/24/2024,"440.45","441.48","427.59","428.90","26,805,801"
07/23/2024,"443.90","448.39","443.10","444.85","13,107,050"
07/22/2024,"441.79","444.60","438.91","442.94","15,808,760"
07/19/2024,"433.10","441.14","432.00","437.11","20,940,420"
07/18/2024,"444.34","444.65","434.40","440.37","20,794,820"
07/17/2024,"442.59","444.85","439.18","443.52","21,754,020"
07/16/2024,"454.22","454.30","446.66","449.52","17,175,680"
07/15/2024,"453.30","457.26","451.43","453.96","14,429,450"
07/12/2024,"454.33","456.36","450.65","453.55","16,324,270"
07/11/2024,"462.98","464.78","451.55","454.70","23,111,180"
07/10/2024,"461.22","466.46","458.86","466.25","18,196,100"
07/09/2024,"467.00","467.33","458.00","459.54","17,228,510"
07/08/2024,"466.55","467.70","464.46","466.24","12,962,320"
07/05/2024,"459.61","468.35","458.97","467.56","16,000,290"
07/03/2024,"458.19","461.02","457.88","460.77","9,932,830"
07/02/2024,"453.20","459.59","453.11","459.28","13,979,780"
07/01/2024,"448.66","457.37","445.66","456.73","17,662,820"
06/28/2024,"453.07","455.38","446.41","446.95","28,362,270"
06/27/2024,"452.18","456.17","451.77","452.85","14,806,320"
06/26/2024,"449.00","453.60","448.19","452.16","16,507,029"
06/25/2024,"448.25","451.42","446.75","450.95","16,747,529"
06/24/2024,"449.80","452.75","446.41","447.67","15,913,720"
06/21/2024,"447.38","450.58","446.51","449.78","34,486,168"
06/20/2024,"446.30","446.53","441.27","445.70","19,877,381"
06/18/2024,"449.71","450.14","444.89","446.34","17,112,500"
06/17/2024,"442.59","450.94","440.72","448.37","20,790,029"
06/14/2024,"438.28","443.14","436.72","442.57","13,581,990"
06/13/2024,"440.85","443.39","439.37","441.58","15,960,570"
06/12/2024,"435.32","443.40","433.25","441.06","22,366,230"
06/11/2024,"425.48","432.82","425.25","432.68","14,551,100"
06/10/2024,"424.70","428.08","423.89","427.87","14,003,030"
06/07/2024,"426.20","426.28","423.00","423.85","13,621,650"
06/06/2024,"424.01","425.31","420.58","424.52","14,861,250"
06/05/2024,"417.81","424.08","416.30","424.01","16,988,039"
06/04/2024,"412.43","416.44","409.68","416.07","14,348,920"
06/03/2024,"415.53","416.43","408.92","413.52","17,484,680"
05/31/2024,"416.75","416.75","404.51","415.13","47,995,246"
05/30/2024,"424.30","424.30","414.24","414.67","28,424,850"
